,angle,angle_speed,AccZ,brake,GyroY,GyroZ,Timestamp,
832,0.1596303,-0.7554307,-0.39417076,0.05207626,-0.015271631,-0.032452215,3582078,2
3588,-0.6637827,-0.4704885,-1.3245363,0.010537425,-0.15882497,-0.12652546,3583762,1
2872,0.83546925,-0.27730405,-0.7457485,0.019089539,0.030543262,-0.009850202,3583375,1
2701,-0.51142484,-0.77665615,0.4733591,0.044135015,0.004276057,0.13187054,3583254,1
1410,0.35229635,0.16817701,0.12122536,-0.051159963,-0.04520403,-0.025732698,3582479,0
183,-0.19473088,0.060111776,-0.48773098,0.02031127,-0.08124508,0.093386024,3581728,2
1290,4.157132,1.5080249,-0.55947113,-0.10919216,-0.32620203,-0.27130052,3582414,0
954,1.2787864,0.53546023,0.036623955,0.13332134,-0.016493361,-0.12347114,3582144,2
131,-0.49350238,-0.11575872,-0.28208447,0.006872234,0.008552114,0.014584408,3581700,2
463,1.4017797,-0.33752275,0.7875662,-0.09025534,-0.14477506,-0.018402316,3581879,2
2166,-0.40463042,-0.5255528,1.1134052,-0.040775254,0.05131268,0.006643159,3582887,0
1532,-0.26792884,-1.0625626,0.5395365,-0.04016439,0.029932396,0.044516806,3582545,0
2613,-0.63430524,0.9409673,-0.28733826,0.003817908,0.15149458,0.000534507,3583206,1
1779,0.867856,0.3601308,-2.4128928,-0.11591168,0.09712757,-0.32872185,3582678,0
708,0.083128214,-0.3606336,-0.83594036,-0.054825157,-0.095294975,-0.027565295,3582011,2
1109,-0.9216973,-0.9808639,1.4710121,-0.14340061,0.10445796,0.113544576,3582228,2
488,-0.06735623,0.112042286,-1.1783543,0.005039638,-0.022602014,0.025579982,3581893,2
3529,-1.1761088,-0.31856924,-0.17132473,0.036193766,0.035430185,0.14714217,3583730,1
3432,-0.730968,0.2907686,1.6849976,-0.049938235,-0.07880162,-0.011682798,3583678,1
1509,1.0942656,0.11471915,0.52443886,0.013591751,0.07269296,0.038408153,3582533,0
192,0.46527594,0.9880246,0.1904707,0.020922136,-0.0842994,-0.025121834,3581733,2
3117,-0.26980913,-0.22415298,-0.1717081,0.045356743,-0.12156218,-0.03611741,3583507,1
3182,1.1797827,0.1594083,0.8427143,-0.069485925,0.07269296,0.049403727,3583543,1
1074,1.5619663,1.1238903,0.35000515,-0.012064588,-0.062308256,0.061010167,3582209,2
309,0.432822,0.4263416,0.56699276,-0.018784106,0.001221731,-0.023289237,3581796,2
3170,-0.190629,0.3105248,-0.8229046,0.23167065,0.26083946,-0.017180584,3583536,1
2510,0.25881004,0.115024686,0.34510517,0.094225965,-0.015882496,0.004810564,3583151,1
